ID,required language,position name,work experience,education,salary_lower_bound,salary_upper_bound,company scale,location,series level,company_name,search num
2744,PHP,PHP,1-3year,Bachelor,15,25,15-50人,Shanghai,startup (no financing),沃动,118000
2745,PHP,PHP,1-3year,junior college,10,20,150-500人,Hangzhou,developing (B round),沃呗,72200
2746,PHP,PHP,unlimited,Unlimited,4,6,500-2000人,Changsha,developing (B round),我赢职场,429000
2747,PHP,PHP,1-3year,Unlimited,6,10,少于15人,Wuhan,startup (angel round),我们行,22300000
2748,PHP,PHP,unlimited,Bachelor,15,20,15-50人,Beijing,developing (A round),我们的APP-ohflyer,106
2749,PHP,PHP,3-5year,junior college,3,6,50-150人,Xi'an,developing (no financing need),文玺庄园,41
2750,PHP,PHP,3-5year,junior college,11,13,2000人以上,Beijing,mature (C round),文思海辉,1090000
2751,PHP,PHP,1-3year,Bachelor,8,9,2000人以上,Beijing,mature (C round),文思海辉,1090000
2752,PHP,PHP,1-3year,junior college,4,8,少于15人,Chengdu,startup (no financing),味游科技,1460000
2753,PHP,PHP,1-3year,Bachelor,8,9,少于15人,Chengdu,startup (angel round),未娱互动,6480000
2754,PHP,PHP,3-5year,Bachelor,8,15,15-50人,Beijing,startup (no financing need),未来安全,11600000
2755,PHP,PHP,3-5year,Bachelor,8,12,50-150人,Shenzhen,developing (no financing need),伟创联盟,428000
2756,PHP,PHP,3-5year,junior college,8,13,15-50人,Suzhou,startup (no financing),维瑞软件,34500
2757,PHP,PHP,1-3year,junior college,15,19,500-2000人,Shanghai,mature (no financing need),薇凯国际,56900
2758,PHP,PHP,3-5year,junior college,10,15,50-150人,Xi'an,developing (no financing need),微众中国,2010000
2759,PHP,PHP,1-3year,junior college,6,8,15-50人,Hangzhou,startup (no financing need),微源网络,68400
2760,PHP,PHP,1-3year,junior college,15,25,15-50人,Shanghai,startup (angel round),微愉网络,26
2761,PHP,PHP,unlimited,Bachelor,20,25,15-50人,Beijing,developing (A round),微笑科技,1980000
2762,PHP,PHP,1-3year,junior college,6,10,15-50人,Hangzhou,startup (angel round),微天使创投数据平台,297000
2763,PHP,PHP,5-10year,Unlimited,9,14,15-50人,Changsha,startup (no financing),微齐,8270000
2764,PHP,PHP,3-5year,junior college,7,13,15-50人,Changsha,startup (no financing),微齐,8270000
2765,PHP,PHP,1-3year,Unlimited,10,20,15-50人,Hangzhou,startup (no financing),微媒,1540000
2766,PHP,PHP,1-3year,Bachelor,7,10,15-50人,Chengdu,startup (angel round),微力互动,126000
2767,PHP,PHP,3-5year,Unlimited,30,30,15-50人,Beijing,startup (no financing),微乐,3610000
